
2024/07/08 (14:14:50) | INFO: Quitting! Runtime: 00:00:41

2024/07/08 (14:16:18) | ===> btop++ v.1.3.2
2024/07/08 (14:16:18) | INFO: Logger set to DEBUG
2024/07/08 (14:16:18) | DEBUG: Using locale en_US.UTF-8
2024/07/08 (14:16:18) | INFO: Running on /dev/pts/0
2024/07/08 (14:16:18) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/07/08 (14:16:18) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/07/08 (14:16:18) | DEBUG: Shared::init() : Initialized.
2024/07/08 (14:18:12) | INFO: Quitting! Runtime: 00:01:54

2024/07/08 (14:22:34) | ===> btop++ v.1.3.2
2024/07/08 (14:22:34) | INFO: Logger set to DEBUG
2024/07/08 (14:22:34) | DEBUG: Using locale en_US.UTF-8
2024/07/08 (14:22:34) | INFO: Running on /dev/pts/0
2024/07/08 (14:22:34) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/07/08 (14:22:34) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/07/08 (14:22:34) | DEBUG: Shared::init() : Initialized.
2024/07/08 (14:22:54) | INFO: Quitting! Runtime: 00:00:20

2024/07/08 (14:56:55) | ===> btop++ v.1.3.2
2024/07/08 (14:56:55) | INFO: Logger set to DEBUG
2024/07/08 (14:56:55) | DEBUG: Using locale en_US.UTF-8
2024/07/08 (14:56:55) | INFO: Running on /dev/pts/0
2024/07/08 (14:56:55) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/07/08 (14:56:55) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/07/08 (14:56:55) | DEBUG: Shared::init() : Initialized.
2024/07/08 (14:57:19) | INFO: Quitting! Runtime: 00:00:24

2024/07/08 (15:00:05) | ===> btop++ v.1.3.2
2024/07/08 (15:00:05) | INFO: Logger set to DEBUG
2024/07/08 (15:00:05) | DEBUG: Using locale en_US.UTF-8
2024/07/08 (15:00:05) | INFO: Running on /dev/pts/0
2024/07/08 (15:00:05) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/07/08 (15:00:05) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/07/08 (15:00:05) | DEBUG: Shared::init() : Initialized.
2024/07/08 (15:09:50) | DEBUG: Writing new config file
2024/07/08 (15:09:50) | INFO: Quitting! Runtime: 00:09:45

2024/07/08 (15:17:32) | ===> btop++ v.1.3.2
2024/07/08 (15:17:32) | INFO: Logger set to DEBUG
2024/07/08 (15:17:32) | DEBUG: Using locale en_US.UTF-8
2024/07/08 (15:17:32) | INFO: Running on /dev/pts/0
2024/07/08 (15:17:33) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/07/08 (15:17:33) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/07/08 (15:17:33) | DEBUG: Shared::init() : Initialized.
2024/07/08 (15:20:51) | INFO: Quitting! Runtime: 00:03:19

2024/07/08 (15:21:03) | ===> btop++ v.1.3.2
2024/07/08 (15:21:03) | INFO: Logger set to DEBUG
2024/07/08 (15:21:03) | DEBUG: Using locale en_US.UTF-8
2024/07/08 (15:21:03) | INFO: Running on /dev/pts/0
2024/07/08 (15:21:03) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/07/08 (15:21:03) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/07/08 (15:21:03) | DEBUG: Shared::init() : Initialized.
2024/07/08 (15:21:06) | INFO: Quitting! Runtime: 00:00:03

2024/07/08 (15:22:52) | ===> btop++ v.1.3.2
2024/07/08 (15:22:52) | INFO: Logger set to DEBUG
2024/07/08 (15:22:52) | DEBUG: Using locale en_US.UTF-8
2024/07/08 (15:22:52) | INFO: Running on /dev/pts/0
2024/07/08 (15:22:52) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/07/08 (15:22:52) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/07/08 (15:22:52) | DEBUG: Shared::init() : Initialized.
2024/07/08 (15:25:20) | DEBUG: Writing new config file
2024/07/08 (15:25:20) | INFO: Quitting! Runtime: 00:02:28

2024/07/09 (08:51:10) | ===> btop++ v.1.3.2
2024/07/09 (08:51:10) | INFO: Logger set to DEBUG
2024/07/09 (08:51:10) | DEBUG: Using locale en_US.UTF-8
2024/07/09 (08:51:10) | INFO: Running on /dev/pts/0
2024/07/09 (08:51:10) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/07/09 (08:51:10) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/07/09 (08:51:10) | DEBUG: Shared::init() : Initialized.
2024/07/09 (08:58:53) | DEBUG: Writing new config file
2024/07/09 (08:58:53) | INFO: Quitting! Runtime: 00:07:43

2024/07/09 (10:12:06) | ===> btop++ v.1.3.2
2024/07/09 (10:12:06) | INFO: Logger set to DEBUG
2024/07/09 (10:12:06) | DEBUG: Using locale en_US.UTF-8
2024/07/09 (10:12:06) | INFO: Running on /dev/pts/0
2024/07/09 (10:12:06) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/07/09 (10:12:06) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/07/09 (10:12:06) | DEBUG: Shared::init() : Initialized.
2024/07/09 (10:12:19) | INFO: Quitting! Runtime: 00:00:13

2024/07/09 (10:13:14) | ===> btop++ v.1.3.2
2024/07/09 (10:13:14) | INFO: Logger set to DEBUG
2024/07/09 (10:13:14) | DEBUG: Using locale en_US.UTF-8
2024/07/09 (10:13:14) | INFO: Running on /dev/pts/0
2024/07/09 (10:13:14) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/07/09 (10:13:14) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/07/09 (10:13:14) | DEBUG: Shared::init() : Initialized.
2024/07/09 (10:13:54) | DEBUG: Writing new config file
2024/07/09 (10:13:54) | INFO: Quitting! Runtime: 00:00:40

2024/07/09 (11:50:36) | ===> btop++ v.1.3.2
2024/07/09 (11:50:36) | INFO: Logger set to DEBUG
2024/07/09 (11:50:36) | DEBUG: Using locale en_US.UTF-8
2024/07/09 (11:50:36) | INFO: Running on /dev/pts/0
2024/07/09 (11:50:36) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/07/09 (11:50:36) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/07/09 (11:50:36) | DEBUG: Shared::init() : Initialized.
2024/07/09 (11:52:16) | INFO: Quitting! Runtime: 00:01:40

2024/07/09 (17:41:59) | ===> btop++ v.1.3.2
2024/07/09 (17:41:59) | INFO: Logger set to DEBUG
2024/07/09 (17:41:59) | DEBUG: Using locale en_US.UTF-8
2024/07/09 (17:41:59) | INFO: Running on /dev/pts/0
2024/07/09 (17:41:59) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
